Id,City,Latitude,Longitude
1,Phuket City,7.878978,98.398392
2,Nonthaburi,13.859108,100.521652
3,"Nong Khai, Isaan",17.878281,102.741264
4,Yasothon,15.792641,104.145287
5,Nakhon Pathom,13.814029,100.037292
6,Chiang Mai,18.793867,98.997116
7,Nakhon Ratchasima,14.9799,102.097771
8,"Hai ya, Chiang Mai Province",18.772558,98.982361
9,Khon Kaen,16.439625,102.828728
10,Chon Buri,13.361143,100.984673
